STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c3200_i16_p64,3200,16,64,58,0.8707,1.24,40
c3400_i16_p64,3400,16,64,52,0.8714,1.05,38
c3600_i16_p64,3600,16,64,55,0.8693,1.04,40
c4000_i16_p64,4000,16,64,62,0.8642,1.00,46
c4242_i16_p64,4242,16,64,63,0.8614,0.97,48
c2048_i16_p66,2048,16,66,38,0.8930,1.61,23
c2200_i16_p66,2200,16,66,48,0.8887,1.56,29
c2300_i16_p66,2300,16,66,40,0.8853,1.24,26
c2400_i16_p66,2400,16,66,42,0.8837,1.26,27
c2500_i16_p66,2500,16,66,42,0.8842,1.18,27
c2560_i16_p66,2560,16,66,44,0.8832,1.31,29
c5000_i16_p64,5000,16,64,79,0.8544,1.19,61
c5600_i16_p64,5600,16,64,78,0.8493,1.01,64
c5800_i16_p64,5800,16,64,80,0.8447,0.96,66
c2600_i16_p66,2600,16,66,44,0.8836,1.25,29
c2700_i16_p66,2700,16,66,45,0.8795,1.27,30
c2888_i16_p66,2888,16,66,47,0.8776,1.28,33
c2960_i16_p66,2960,16,66,49,0.8761,1.16,34
c3076_i16_p66,3076,16,66,49,0.8763,1.11,34
c3200_i16_p66,3200,16,66,51,0.8725,1.16,36
c3400_i16_p66,3400,16,66,53,0.8730,1.03,39
c3600_i16_p66,3600,16,66,56,0.8710,1.09,41
c4000_i16_p66,4000,16,66,69,0.8668,1.41,51
c4200_i16_p66,4200,16,66,63,0.8612,1.07,48
c4242_i16_p66,4242,16,66,63,0.8634,1.32,48
c4800_i16_p66,4800,16,66,70,0.8548,0.99,55
c5000_i16_p66,5000,16,66,71,0.8561,0.97,57
c5600_i16_p66,5600,16,66,78,0.8510,0.95,63
c5800_i16_p66,5800,16,66,80,0.8463,0.93,66
c6000_i16_p66,6000,16,66,81,0.8471,0.90,67
c6400_i16_p66,6400,16,66,85,0.8407,0.90,72
c6600_i16_p66,6600,16,66,90,0.8407,0.95,75
c2300_i16_p68,2300,16,68,40,0.8861,1.35,25
c2400_i16_p68,2400,16,68,41,0.8851,1.20,26
c2500_i16_p68,2500,16,68,42,0.8865,1.17,27
c2600_i16_p68,2600,16,68,46,0.8855,1.25,31
c2700_i16_p68,2700,16,68,46,0.8821,1.24,31
c2888_i16_p68,2888,16,68,50,0.8797,1.26,34
c2960_i16_p68,2960,16,68,50,0.8772,1.39,35
c3076_i16_p68,3076,16,68,50,0.8783,1.16,35
c3200_i16_p68,3200,16,68,51,0.8739,1.15,36
c3400_i16_p68,3400,16,68,54,0.8746,1.13,38
c3600_i16_p68,3600,16,68,63,0.8737,1.29,44
c4000_i16_p68,4000,16,68,60,0.8690,1.05,45
c4242_i16_p68,4242,16,68,64,0.8648,1.07,48
c5000_i16_p68,5000,16,68,72,0.8581,0.96,58
c5600_i16_p68,5600,16,68,81,0.8537,1.08,66
c5800_i16_p68,5800,16,68,83,0.8485,1.30,68
c6400_i16_p68,6400,16,68,89,0.8433,0.98,74
c6600_i16_p68,6600,16,68,94,0.8433,0.97,79
c2048_i16_p70,2048,16,70,39,0.8967,1.44,23
c2200_i16_p70,2200,16,70,46,0.8915,1.42,26
c2300_i16_p70,2300,16,70,41,0.8875,1.39,26
c2400_i16_p70,2400,16,70,43,0.8874,1.28,27
c2500_i16_p70,2500,16,70,42,0.8882,1.22,27
c6400_i16_p64,6400,16,64,81,0.8388,0.81,68
c6600_i16_p64,6600,16,64,86,0.8385,0.81,70
c2560_i16_p70,2560,16,70,49,0.8876,1.26,32
c2600_i16_p70,2600,16,70,42,0.8870,1.08,28
c2700_i16_p70,2700,16,70,42,0.8844,1.04,29
c2888_i16_p70,2888,16,70,47,0.8817,1.03,30
c2960_i16_p70,2960,16,70,45,0.8783,0.98,32
c3076_i16_p70,3076,16,70,47,0.8805,0.96,33
c3200_i16_p70,3200,16,70,48,0.8749,0.94,33
c3400_i16_p70,3400,16,70,52,0.8763,0.92,37
c3600_i16_p70,3600,16,70,51,0.8751,0.90,38
c4000_i16_p70,4000,16,70,55,0.8711,0.89,41
c4200_i16_p70,4200,16,70,59,0.8669,0.86,46
c4242_i16_p70,4242,16,70,59,0.8672,0.84,44
c4800_i16_p70,4800,16,70,73,0.8585,1.05,56
c5000_i16_p70,5000,16,70,64,0.8606,0.84,51
c5600_i16_p70,5600,16,70,72,0.8556,0.82,57
c5800_i16_p70,5800,16,70,74,0.8499,0.82,58
c6000_i16_p70,6000,16,70,76,0.8519,0.81,63
c6400_i16_p70,6400,16,70,87,0.8464,0.90,69
c6600_i16_p70,6600,16,70,82,0.8458,0.79,69
c2300_i16_p72,2300,16,72,38,0.8895,1.18,22
c2400_i16_p72,2400,16,72,37,0.8885,1.19,23
c2500_i16_p72,2500,16,72,39,0.8900,1.10,25
c2600_i16_p72,2600,16,72,46,0.8892,1.15,31
c2700_i16_p72,2700,16,72,42,0.8857,1.06,28
c2888_i16_p72,2888,16,72,46,0.8832,1.04,30
c2960_i16_p72,2960,16,72,44,0.8800,1.01,31
c3076_i16_p72,3076,16,72,48,0.8820,1.02,32
c3200_i16_p72,3200,16,72,46,0.8765,0.98,33
c3400_i16_p72,3400,16,72,48,0.8785,0.95,35
c3600_i16_p72,3600,16,72,50,0.8768,0.94,37
c4000_i16_p72,4000,16,72,55,0.8728,0.97,41
c4242_i16_p72,4242,16,72,59,0.8692,0.88,46
c5000_i16_p72,5000,16,72,64,0.8615,0.91,50
c5600_i16_p72,5600,16,72,71,0.8566,0.82,58
c5800_i16_p72,5800,16,72,77,0.8519,0.89,61
c6400_i16_p72,6400,16,72,81,0.8477,0.84,67
c6600_i16_p72,6600,16,72,84,0.8482,0.88,69
c2048_i16_p74,2048,16,74,36,0.9004,1.23,22
c2200_i16_p74,2200,16,74,36,0.8956,1.19,23
c2300_i16_p74,2300,16,74,39,0.8906,1.17,24
c2400_i16_p74,2400,16,74,38,0.8897,1.14,22
c2500_i16_p74,2500,16,74,40,0.8914,1.12,26
c2560_i16_p74,2560,16,74,40,0.8919,1.10,27
c2600_i16_p74,2600,16,74,40,0.8907,1.09,28
c2700_i16_p74,2700,16,74,44,0.8871,1.08,28
c2888_i16_p74,2888,16,74,43,0.8839,1.04,30
c2960_i16_p74,2960,16,74,50,0.8814,1.04,32
c3076_i16_p74,3076,16,74,44,0.8840,1.02,30
c3200_i16_p74,3200,16,74,45,0.8782,0.96,32
c3400_i16_p74,3400,16,74,48,0.8800,0.97,35
c3600_i16_p74,3600,16,74,53,0.8781,0.94,37
c4000_i16_p74,4000,16,74,57,0.8749,0.91,41
c4200_i16_p74,4200,16,74,60,0.8709,0.89,44
c4242_i16_p74,4242,16,74,59,0.8708,0.90,46
c4800_i16_p74,4800,16,74,64,0.8636,0.86,48
c5000_i16_p74,5000,16,74,64,0.8626,0.86,52
c5600_i16_p74,5600,16,74,77,0.8582,0.85,61
c5800_i16_p74,5800,16,74,75,0.8534,0.84,61
c6000_i16_p74,6000,16,74,75,0.8557,0.83,63
c6400_i16_p74,6400,16,74,80,0.8499,0.82,67
c6600_i16_p74,6600,16,74,82,0.8500,0.86,69
c2048_i16_p76,2048,16,76,36,0.9019,1.30,22
c2200_i16_p76,2200,16,76,37,0.8977,1.25,23
c2300_i16_p76,2300,16,76,37,0.8921,1.21,24
c2400_i16_p76,2400,16,76,38,0.8906,1.19,25
