variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
no_reorder,0,0,0,0,0,0,1,59,5,763,355,3818.752344,3824.204214, 648.988613, 0.977430, 1.540859, 17985.670400, 14568, 15408.590840,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS355/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,59,5,763,355,3867.876645,3872.795192, 810.325599, 0.977430, 1.234072, 17985.670400, 14568, 12340.718367,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS355/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,59,5,763,355,3974.061266,5398.068328, 446.360961, 0.000000, 2.240339, 17980.378200, 14436, 22403.392933,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS355/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,59,5,763,360,3804.722862,3810.305109, 804.428295, 0.977760, 1.243119, 18210.702700, 14735, 12431.188788,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS360/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,59,5,763,360,3914.304555,3919.629301, 813.143409, 0.977760, 1.229795, 18210.702700, 14735, 12297.953712,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS360/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,59,5,763,360,3976.794169,3982.447691, 804.814312, 0.977760, 1.242523, 18210.702700, 14735, 12425.226359,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS360/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,59,5,763,360,3921.009031,3926.548597, 645.305224, 0.977760, 1.549654, 18210.702700, 14735, 15496.542759,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS360/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,59,5,763,360,3868.975592,5221.297233, 487.334599, 0.000000, 2.051978, 18205.359400, 14604, 20519.782553,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS360/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,59,5,763,360,3961.977448,3966.984763, 662.717360, 0.977760, 1.508939, 18210.702700, 14735, 15089.388933,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS360/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,59,5,763,360,3956.029828,3960.936167, 822.365901, 0.977760, 1.216004, 18210.702700, 14735, 12160.037265,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS360/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,59,5,763,360,3994.804984,3999.932526, 814.371128, 0.977760, 1.227941, 18210.702700, 14735, 12279.413718,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS360/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,59,5,763,360,3878.183245,3883.114540, 818.758086, 0.977760, 1.221362, 18210.702700, 14735, 12213.619830,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS360/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,59,5,763,360,3844.455253,5213.801810, 445.043503, 0.000000, 2.246971, 18205.359400, 14604, 22469.713499,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS360/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,59,5,763,365,3938.997506,3944.624168, 788.075283, 0.978220, 1.268914, 18435.290500, 14910, 12689.143054,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS365/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,59,5,763,365,3804.636059,3809.522168, 775.381444, 0.978220, 1.289688, 18435.290500, 14910, 12896.878147,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS365/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,59,5,763,365,3854.128659,3860.765806, 792.675669, 0.978220, 1.261550, 18435.290500, 14910, 12615.500116,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS365/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,59,5,763,365,3997.960888,4003.544714, 790.954029, 0.978220, 1.264296, 18435.290500, 14910, 12642.959808,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS365/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,59,5,763,365,3866.961569,5273.195619, 487.054044, 0.000000, 2.053160, 18429.386900, 14779, 20531.602427,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS365/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,59,5,763,365,3815.025691,3820.062393, 660.861817, 0.978220, 1.513176, 18435.290500, 14910, 15131.756366,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS365/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,59,5,763,365,3768.629359,3773.572207, 788.260882, 0.978220, 1.268616, 18435.290500, 14910, 12686.155351,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS365/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,59,5,763,365,3823.186473,3828.048928, 798.579703, 0.978220, 1.252223, 18435.290500, 14910, 12522.231614,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS365/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,59,5,763,365,3913.591647,3919.507326, 616.421476, 0.978220, 1.622267, 18435.290500, 14910, 16222.666458,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS365/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,59,5,763,365,3921.800512,5352.795355, 433.577704, 0.000000, 2.306392, 18429.386900, 14779, 23063.916573,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS365/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,59,5,763,370,4002.955978,4008.431292, 786.378793, 0.978610, 1.271652, 18656.989900, 15051, 12716.517900,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS370/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,59,5,763,370,3962.603256,3968.733796, 730.019976, 0.978610, 1.369826, 18656.989900, 15051, 13698.255284,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS370/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,59,5,763,370,3861.770118,3866.717403, 772.633653, 0.978610, 1.294274, 18656.989900, 15051, 12942.744547,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS370/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,59,5,763,370,3792.218840,3797.885821, 785.192965, 0.978610, 1.273572, 18656.989900, 15051, 12735.722865,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS370/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,59,5,763,370,3868.492252,5177.056050, 374.686965, 0.000000, 2.668895, 18652.083300, 14920, 26688.945526,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS370/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,59,5,763,370,3876.985391,3882.705740, 647.543555, 0.978610, 1.544298, 18656.989900, 15051, 15442.976648,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS370/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,59,5,763,370,3916.479080,3921.290068, 789.698073, 0.978610, 1.266307, 18656.989900, 15051, 12663.067504,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS370/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,59,5,763,370,3911.167428,3916.477805, 756.719010, 0.978610, 1.321494, 18656.989900, 15051, 13214.944873,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS370/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,59,5,763,370,3895.515760,3900.584715, 804.770159, 0.978610, 1.242591, 18656.989900, 15051, 12425.908052,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS370/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,59,5,763,370,4056.406115,5514.324361, 402.087443, 0.000000, 2.487021, 18652.083300, 14920, 24870.212119,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS370/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,59,5,763,375,3876.873858,3882.859232, 721.923832, 0.979130, 1.385188, 18880.097400, 15179, 13851.876826,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS375/dynamic_struct/run_stdout_1.log,1
