m,max_layer,efc,efs,avg_recall,avg_time_ms
63,3,661,616,0.98998,2.006643
63,3,661,620,0.9901,2.061393
59,5,763,2000,0.99899,6.63604
59,5,763,1040,0.99667,3.467711
59,5,763,560,0.98904,1.877624
59,5,763,800,0.99446,2.61141
59,5,763,680,0.99236,2.204325
59,5,763,620,0.99075,2.05714
59,5,763,590,0.98994,1.954396
59,5,763,605,0.99031,2.018793
59,5,763,598,0.99016,1.997073
59,5,763,594,0.99003,1.951209
59,5,763,592,0.98997,1.959342
59,5,763,593,0.99,1.967163
59,5,763,594,0.99003,1.951209
52,4,605,2000,0.99878,5.884256
52,4,605,1040,0.99562,3.14353
52,4,605,560,0.98709,1.810787
52,4,605,800,0.99311,2.756889
52,4,605,680,0.99111,2.125217
52,4,605,620,0.98927,1.896919
52,4,605,650,0.9903,2.006068
52,4,605,635,0.98976,1.938225
52,4,605,643,0.99002,1.968873
52,4,605,639,0.98987,1.966121
52,4,605,641,0.98994,2.309076
52,4,605,642,0.98997,1.967817
52,4,605,643,0.99002,1.968873
55,6,692,2000,0.99901,7.283478
55,6,692,1040,0.99621,3.561972
55,6,692,560,0.98829,1.853514
55,6,692,800,0.99381,2.597779
55,6,692,680,0.9918,2.209059
55,6,692,620,0.99018,2.013717
55,6,692,590,0.98915,2.275272
55,6,692,605,0.98967,1.987311
55,6,692,613,0.98995,2.00714
55,6,692,617,0.99004,2.025927
55,6,692,615,0.99001,1.997167
55,6,692,614,0.99,2.02578
55,6,692,615,0.99001,1.997167
51,7,648,2000,0.99876,5.976936
51,7,648,1040,0.99582,3.229711
51,7,648,560,0.98728,1.775939
51,7,648,800,0.99319,2.794043
51,7,648,680,0.99103,2.148773
51,7,648,620,0.98924,1.981302
51,7,648,650,0.99023,2.074027
51,7,648,635,0.98982,2.037638
51,7,648,643,0.99004,2.070936
51,7,648,639,0.98991,2.042887
51,7,648,641,0.99,2.333046
51,7,648,640,0.98995,2.065913
51,7,648,643,0.99004,2.070936
33,5,511,2000,0.9975,5.352029
33,5,511,1040,0.99209,2.679434
33,5,511,560,0.98023,1.515031
33,5,511,800,0.98796,2.133079
33,5,511,920,0.9904,2.458968
33,5,511,860,0.98923,2.266023
33,5,511,890,0.98991,2.3381
33,5,511,905,0.99021,2.38986
33,5,511,898,0.99005,2.39387
33,5,511,894,0.98998,2.316354
33,5,511,896,0.99001,2.360523
33,5,511,560,0.98023,1.515031
32,5,530,2000,0.99754,5.125595
32,5,530,1040,0.99195,2.694306
32,5,530,560,0.97956,1.812137
32,5,530,800,0.98773,2.121509
32,5,530,680,0.98471,1.818909
32,5,530,620,0.98243,1.652101
32,5,530,590,0.98111,1.570203
32,5,530,575,0.98029,1.525112
32,5,530,568,0.98004,1.541965
32,5,530,564,0.9798,1.520135
32,5,530,566,0.97991,1.842767
32,5,530,567,0.97997,1.536214
32,5,530,575,0.98029,1.525112
43,10,735,2000,0.99889,6.180694
43,10,735,1040,0.99575,3.21515
43,10,735,560,0.98707,1.777573
43,10,735,320,0.97001,1.037142
43,10,735,440,0.98092,1.406366
43,10,735,380,0.97642,1.222344
43,10,735,410,0.9789,1.312417
43,10,735,425,0.98,1.34621
43,10,735,418,0.97954,1.332533
43,10,735,422,0.97976,1.376296
43,10,735,424,0.97994,1.35874
43,10,735,425,0.98,1.34621
41,8,93,2000,0.97825,3.078866
41,8,93,2000,0.97825,3.078866
49,1,480,2000,0.99843,6.757338
49,1,480,1040,0.99415,3.554029
49,1,480,560,0.98452,1.906858
49,1,480,800,0.99103,3.02417
49,1,480,680,0.98855,2.34582
49,1,480,740,0.98993,2.561287
49,1,480,770,0.9905,2.685274
49,1,480,755,0.99021,2.656271
49,1,480,748,0.99007,2.464878
49,1,480,744,0.99001,2.811545
49,1,480,742,0.98997,2.486061
49,1,480,743,0.98999,2.558004
49,1,480,748,0.99007,2.464878
55,11,598,2000,0.9988,7.312441
55,11,598,1040,0.99555,4.234022
55,11,598,560,0.98701,2.12333
55,11,598,800,0.99304,3.154577
55,11,598,680,0.9909,2.677003
55,11,598,620,0.9892,2.474295
55,11,598,650,0.99008,2.401393
55,11,598,635,0.98965,2.661777
55,11,598,643,0.98989,2.370315
55,11,598,647,0.99002,2.437503
55,11,598,645,0.98995,2.350798
55,11,598,646,0.98999,2.381378
55,11,598,650,0.99008,2.401393
38,10,393,2000,0.99745,6.319183
38,10,393,1040,0.99173,3.250002
38,10,393,560,0.97922,1.762861
38,10,393,800,0.98754,2.399787
38,10,393,920,0.98995,2.745368
38,10,393,980,0.99086,3.285552
38,10,393,950,0.99053,2.81035
38,10,393,935,0.99024,2.751705
38,10,393,928,0.9901,2.745193
38,10,393,924,0.99004,2.843191
38,10,393,922,0.98998,2.940425
38,10,393,923,0.99002,3.046326
38,10,393,928,0.9901,2.745193
41,11,589,2000,0.96532,7.349059
41,11,589,2000,0.96532,7.349059
33,12,647,2000,0.99814,6.563097
33,12,647,1040,0.99318,3.319256
33,12,647,560,0.98183,1.848902
33,12,647,800,0.98945,2.584376
33,12,647,920,0.9917,2.953854
33,12,647,860,0.99053,3.075785
33,12,647,830,0.99,2.671735
33,12,647,815,0.98973,2.717602
33,12,647,823,0.98987,2.806445
33,12,647,827,0.98994,2.711334
33,12,647,829,0.98999,2.606043
33,12,647,830,0.99,2.671735
34,7,445,2000,0.99741,6.052079
34,7,445,1040,0.99161,3.189616
34,7,445,560,0.97914,1.7278
34,7,445,800,0.98742,2.900787
34,7,445,920,0.98989,2.803031
34,7,445,980,0.99075,2.974404
34,7,445,950,0.99037,2.934004
34,7,445,935,0.99019,2.916706
34,7,445,928,0.99001,3.225912
34,7,445,924,0.98996,2.951157
34,7,445,926,0.99001,3.004189
34,7,445,925,0.98998,2.716428
34,7,445,935,0.99019,2.916706
51,7,648,2000,0.99876,5.976936
51,7,648,1040,0.99582,3.229711
51,7,648,560,0.98728,1.775939
51,7,648,800,0.99319,2.794043
51,7,648,680,0.99103,2.148773
51,7,648,620,0.98924,1.981302
51,7,648,650,0.99023,2.074027
51,7,648,635,0.98982,2.037638
51,7,648,643,0.99004,2.070936
51,7,648,639,0.98991,2.042887
51,7,648,641,0.99,2.333046
51,7,648,640,0.98995,2.065913
51,7,648,643,0.99004,2.070936
33,5,511,2000,0.9975,5.352029
33,5,511,1040,0.99209,2.679434
33,5,511,560,0.98023,1.515031
33,5,511,800,0.98796,2.133079
33,5,511,920,0.9904,2.458968
33,5,511,860,0.98923,2.266023
33,5,511,890,0.98991,2.3381
33,5,511,905,0.99021,2.38986
33,5,511,898,0.99005,2.39387
33,5,511,894,0.98998,2.316354
33,5,511,896,0.99001,2.360523
33,5,511,560,0.98023,1.515031
32,5,530,2000,0.99754,5.125595
32,5,530,1040,0.99195,2.694306
32,5,530,560,0.97956,1.812137
32,5,530,800,0.98773,2.121509
32,5,530,680,0.98471,1.818909
32,5,530,620,0.98243,1.652101
32,5,530,590,0.98111,1.570203
32,5,530,575,0.98029,1.525112
32,5,530,568,0.98004,1.541965
32,5,530,564,0.9798,1.520135
32,5,530,566,0.97991,1.842767
32,5,530,567,0.97997,1.536214
32,5,530,575,0.98029,1.525112
43,10,735,2000,0.99889,6.180694
43,10,735,1040,0.99575,3.21515
43,10,735,560,0.98707,1.777573
43,10,735,320,0.97001,1.037142
43,10,735,440,0.98092,1.406366
43,10,735,380,0.97642,1.222344
43,10,735,410,0.9789,1.312417
43,10,735,425,0.98,1.34621
43,10,735,418,0.97954,1.332533
43,10,735,422,0.97976,1.376296
43,10,735,424,0.97994,1.35874
43,10,735,425,0.98,1.34621
41,8,93,2000,0.97825,3.078866
41,8,93,2000,0.97825,3.078866
49,1,480,2000,0.99843,6.757338
49,1,480,1040,0.99415,3.554029
49,1,480,560,0.98452,1.906858
49,1,480,800,0.99103,3.02417
49,1,480,680,0.98855,2.34582
49,1,480,740,0.98993,2.561287
49,1,480,770,0.9905,2.685274
49,1,480,755,0.99021,2.656271
49,1,480,748,0.99007,2.464878
49,1,480,744,0.99001,2.811545
49,1,480,742,0.98997,2.486061
49,1,480,743,0.98999,2.558004
49,1,480,748,0.99007,2.464878
55,11,598,2000,0.9988,7.312441
55,11,598,1040,0.99555,4.234022
55,11,598,560,0.98701,2.12333
55,11,598,800,0.99304,3.154577
55,11,598,680,0.9909,2.677003
55,11,598,620,0.9892,2.474295
55,11,598,650,0.99008,2.401393
55,11,598,635,0.98965,2.661777
55,11,598,643,0.98989,2.370315
55,11,598,647,0.99002,2.437503
55,11,598,645,0.98995,2.350798
55,11,598,646,0.98999,2.381378
55,11,598,650,0.99008,2.401393
38,10,393,2000,0.99745,6.319183
38,10,393,1040,0.99173,3.250002
38,10,393,560,0.97922,1.762861
38,10,393,800,0.98754,2.399787
38,10,393,920,0.98995,2.745368
38,10,393,980,0.99086,3.285552
38,10,393,950,0.99053,2.81035
38,10,393,935,0.99024,2.751705
38,10,393,928,0.9901,2.745193
38,10,393,924,0.99004,2.843191
38,10,393,922,0.98998,2.940425
38,10,393,923,0.99002,3.046326
38,10,393,928,0.9901,2.745193
41,11,589,2000,0.96532,7.349059
41,11,589,2000,0.96532,7.349059
51,7,648,2000,0.99876,5.976936
51,7,648,1040,0.99582,3.229711
51,7,648,560,0.98728,1.775939
51,7,648,800,0.99319,2.794043
51,7,648,680,0.99103,2.148773
51,7,648,620,0.98924,1.981302
51,7,648,650,0.99023,2.074027
51,7,648,635,0.98982,2.037638
51,7,648,643,0.99004,2.070936
51,7,648,639,0.98991,2.042887
51,7,648,641,0.99,2.333046
51,7,648,640,0.98995,2.065913
51,7,648,643,0.99004,2.070936
33,5,511,2000,0.9975,5.352029
33,5,511,1040,0.99209,2.679434
33,5,511,560,0.98023,1.515031
33,5,511,800,0.98796,2.133079
33,5,511,920,0.9904,2.458968
33,5,511,860,0.98923,2.266023
33,5,511,890,0.98991,2.3381
33,5,511,905,0.99021,2.38986
33,5,511,898,0.99005,2.39387
33,5,511,894,0.98998,2.316354
33,5,511,896,0.99001,2.360523
33,5,511,560,0.98023,1.515031
32,5,530,2000,0.99754,5.125595
32,5,530,1040,0.99195,2.694306
32,5,530,560,0.97956,1.812137
32,5,530,800,0.98773,2.121509
32,5,530,680,0.98471,1.818909
32,5,530,620,0.98243,1.652101
32,5,530,590,0.98111,1.570203
