variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
heap,0,0,0,0,1,0,0,43,10,735,660,3743.536508,3748.946580, 503.789024, 0.990380, 1.984958, 28322.697700, 22469, 19849.578924,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS660/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,43,10,735,660,3782.932731,4882.557295, 302.783767, 0.000000, 3.302687, 28342.254700, 22705, 33026.869620,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS660/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,43,10,735,660,3822.307408,3827.305670, 350.695905, 0.990380, 2.851473, 28322.697700, 22469, 28514.732708,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS660/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,43,10,735,660,3744.734969,3749.717412, 512.061886, 0.990380, 1.952889, 28322.697700, 22469, 19528.889537,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS660/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,43,10,735,660,4088.114671,4093.596318, 483.032094, 0.990380, 2.070256, 28322.697700, 22469, 20702.558113,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS660/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,43,10,735,660,3746.973903,3752.297650, 510.140117, 0.990380, 1.960246, 28322.697700, 22469, 19602.457580,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS660/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,43,10,735,660,3947.027322,7624.695048, 259.126674, 0.000000, 3.859116, 28342.254700, 22705, 38591.164107,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS660/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,43,10,735,680,4034.742680,4039.884985, 473.304675, 0.990870, 2.112804, 29074.935800, 22882, 21128.039755,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS680/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,43,10,735,680,3837.340557,3842.222480, 470.915419, 0.990870, 2.123524, 29074.935800, 22882, 21235.235866,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS680/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,43,10,735,680,4165.575806,4171.498739, 437.600704, 0.990870, 2.285188, 29074.935800, 22882, 22851.882775,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS680/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,43,10,735,680,3863.199375,3868.494328, 469.023272, 0.990870, 2.132090, 29074.935800, 22882, 21320.903662,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS680/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,43,10,735,680,4040.027238,5187.850293, 279.029354, 0.000000, 3.583852, 29094.573500, 23158, 35838.523341,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS680/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,43,10,735,680,3800.275262,3805.698798, 407.264601, 0.990870, 2.455406, 29074.935800, 22882, 24554.061329,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS680/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,43,10,735,680,3830.039532,3834.979845, 416.987945, 0.990870, 2.398151, 29074.935800, 22882, 23981.508613,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS680/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,43,10,735,680,4138.944947,4144.308761, 473.489186, 0.990870, 2.111981, 29074.935800, 22882, 21119.806513,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS680/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,43,10,735,680,3776.543995,3781.325488, 484.200734, 0.990870, 2.065259, 29074.935800, 22882, 20652.591588,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS680/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,43,10,735,680,4232.185864,5356.998522, 259.967492, 0.000000, 3.846635, 29094.573500, 23158, 38466.347923,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS680/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,43,10,735,700,3840.539157,3845.560953, 465.693303, 0.991320, 2.147336, 29824.115800, 23467, 21473.360096,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS700/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,43,10,735,700,3929.149497,3934.434631, 460.184775, 0.991320, 2.173040, 29824.115800, 23467, 21730.401684,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS700/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,43,10,735,700,4763.652772,4771.037257, 410.018603, 0.991320, 2.438914, 29824.115800, 23467, 24389.137296,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS700/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,43,10,735,700,4022.576855,4027.556011, 399.261821, 0.991320, 2.504622, 29824.115800, 23467, 25046.221482,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS700/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,43,10,735,700,4095.171957,5241.810800, 276.665289, 0.000000, 3.614476, 29843.658400, 23720, 36144.758334,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS700/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,43,10,735,700,3872.688128,3878.017857, 376.143206, 0.991320, 2.658562, 29824.115800, 23467, 26585.619109,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS700/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,43,10,735,700,4041.072100,4046.358606, 445.652692, 0.991320, 2.243900, 29824.115800, 23467, 22438.998305,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS700/no_pruning/run_stdout_1.log,1
